Condition,BL#,Repeat,BATCH,Fly 1,Fly 1,Fly 2,Fly 2,Fly 3,Fly 3,Fly 4,Fly 4,Fly 5,Fly 5,Fly 6,Fly 6,Fly 7,Fly 7,Fly 8,Fly 8,Fly 9,Fly 9,Fly 10,Fly 10,FbID
CG7717,BL# 35402,1,4,23,20,24,20,19,22,22,23,22,22,24,23,23,25,24,23,22,20,23,22,FBgn0024329
CG8881,,1,4,19,20,20,20,22,20,21,21,23,21,19,23,20,20,19,21,21,22,20,21,FBgn0026176
CG9196,,1,4,22,21,20,16,20,22,22,24,21,20,23,23,23,21,23,21,24,22,20,21,FBgn0035056
CG9211,,1,4,20,18,20,18,19,20,20,19,17,19,18,21,18,19,20,21,17,19,20,19,FBgn0031872
CG9768,BL# 34736,1,4,20,20,25,20,17,19,20,21,22,22,19,20,21,18,22,21,20,18,20,20,FBgn0261434
CG9962,,1,4,16,16,20,19,19,22,20,22,19,19,23,19,17,22,21,20,20,22,19,20,FBgn0031441
OR,,1,4,20,18,17,15,22,20,17,18,19,19,21,18,17,20,16,17,16,16,19,19,Control
Tj>HpoRNAi,,1,4,19,19,22,21,20,18,21,21,20,21,20,20,18,18,16,20,20,20,19,20,Control
Tj>HpoRNAi,,2,4,17,19,18,17,21,17,20,18,19,18,24,21,20,19,19,19,21,22,20,18,Control
"Tj>HpoRNAi,Bab1RNAi",v50826,1,4,18,18,19,20,21,18,16,17,19,18,17,17,19,21,20,21,19,21,20,20,Control
"Tj>HpoRNAi,Bab2RNAi",BL# 35720,1,4,19,24,21,19,22,20,19,19,19,19,21,22,21,28,21,22,19,19,24,22,Control
"Tj>HpoRNAi,Hpo",,1,4,18,18,18,17,17,16,16,15,15,18,16,15,17,19,16,18,15,16,18,17,Control
"Tj>HpoRNAi,HpoRNAi",BL# 33614,1,4,18,18,18,17,22,19,20,24,21,17,20,19,21,23,24,20,23,21,19,24,Control
"Tj>HpoRNAi,Yki",,1,4,16,18,14,18,20,15,8,14,4,21,6,16,14,16,18,21,14,5,16,14,Control
"Tj>HpoRNAi,YkiRNAi",,1,4,17,18,16,14,16,15,17,18,21,18,14,17,15,18,19,17,16,15,18,17,Control
CG10067,,1,5,23,22,20,21,24,21,22,23,23,20,19,22,22,22,23,21,23,22,20,22,FBgn0000044
CG10491,,1,5,15,17,17,18,14,16,17,17,18,17,19,17,15,16,11,17,16,16,15,18,FBgn0003984
CG10601,,1,5,19,19,17,17,20,16,21,18,18,19,18,18,20,21,19,20,20,21,19,19,FBgn0014343
CG10711,BL# 38286,1,5,5,4,3,4,2,1,1,1,1,1,1,1,2,1,3,2,1,1,1,1,FBgn0086785
CG10837,,1,5,16,13,20,17,17,15,18,20,19,21,17,19,21,19,17,16,19,17,21,16,FBgn0020660
CG10944,BL# 32418,1,5,14,9,15,14,14,23,4,4,14,10,5,11,12,11,14,13,12,17,5,8,FBgn0261592
CG11009,BL# 34603,1,5,22,23,21,21,22,23,23,21,19,22,20,21,22,23,24,22,21,20,25,22,FBgn0036318
CG11063,BL# 32923,1,5,17,17,21,18,23,21,20,22,18,19,21,22,19,20,20,21,22,20,21,18,FBgn0030530
CG11086,BL# 35023,1,5,21,20,20,20,20,25,24,20,21,21,20,19,20,18,21,20,20,22,20,18,FBgn0033153
CG11228,BL# 35176,1,5,18,19,19,24,24,26,22,23,24,27,22,20,23,30,27,21,21,24,20,28,FBgn0261456
CG11324,BL# 41908,1,5,25,25,26,25,26,24,24,22,26,24,22,18,26,25,26,24,26,25,24,22,FBgn0025777
CG11546,BL# 53349,1,5,20,23,21,23,21,22,21,19,18,20,20,20,21,22,22,19,22,24,20,22,FBgn0010504
CG11561,BL# 43134,1,5,18,19,16,15,14,15,4,13,18,15,15,21,23,21,18,17,16,17,16,15,FBgn0003444
CG11895,BL# 35050,1,5,22,21,20,21,22,23,22,21,23,19,19,20,21,20,22,24,21,26,23,23,FBgn0024836
CG11942,,1,5,23,21,18,20,20,18,20,19,20,23,21,21,21,21,19,20,21,19,21,21,FBgn0031074
CG11990,BL# 35238,1,5,18,20,25,23,19,22,24,23,20,20,24,22,21,19,21,18,20,19,20,20,FBgn0037657
CG12072,BL# 34064,1,5,20,19,19,20,20,19,17,19,18,17,22,17,17,21,17,21,21,18,25,20,FBgn0011739
CG1214,BL# 41593,1,5,22,22,21,20,19,19,21,21,21,20,21,22,21,21,20,20,21,22,21,19,FBgn0003295
CG12530,BL# 37477,1,5,20,18,21,21,21,22,20,20,21,22,20,20,21,20,21,21,21,19,20,21,FBgn0010341
CG1258,BL# 43963,1,5,0,0,0,0,0,0,0,0,4,7,11,8,9,6,4,8,6,3,13,8,FBgn0011692
CG13852,BL# 34959,1,5,21,23,20,22,21,18,23,20,20,21,21,17,18,22,18,18,22,26,22,24,FBgn0038965
CG14821,BL# 53704,1,5,23,18,18,21,21,19,18,21,20,21,21,25,18,19,24,21,18,21,21,19,FBgn0035719
CG15066,,1,5,20,20,19,18,18,21,18,22,18,19,17,20,19,20,18,19,19,19,21,21,FBgn0034328
CG15224,BL# 42943,1,5,15,18,16,11,16,9,20,13,13,13,17,17,14,18,17,17,21,16,12,13,FBgn0000259
CG15319,BL# 37489,1,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,FBgn0261617
CG15400,,1,5,18,21,20,23,21,19,21,20,20,16,22,20,22,25,18,21,19,21,20,21,FBgn0031463
CG15800,,1,5,19,19,19,22,18,20,23,20,22,21,22,22,19,20,20,23,21,18,20,19,FBgn0034904
CG16705,BL# 33926,1,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,9,FBgn0039102
CG16982,,1,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,FBgn0025638
CG17077,BL# 35038,1,5,22,18,18,22,20,20,22,23,24,20,25,20,21,17,21,21,22,23,25,21,FBgn0003118
CG17941,BL# 28008,1,5,25,25,21,22,21,21,23,23,21,20,22,22,19,20,22,20,21,20,22,21,FBgn0284247
CG17998,BL# 34843,1,5,20,18,19,17,20,19,16,20,22,24,20,19,19,18,21,19,20,21,18,22,FBgn0261988
CG18069,BL# 35330,1,5,24,22,21,19,21,22,21,22,22,24,21,22,22,22,24,23,22,21,22,23,FBgn0264607
CG1857,,1,5,18,18,19,18,18,17,20,20,21,22,18,19,19,19,19,20,18,15,19,18,FBgn0002930
CG1921,BL# 36709,1,5,27,25,22,23,22,20,23,27,21,23,22,23,20,23,23,20,23,22,27,23,FBgn0014388
CG2903,BL# 28026,1,5,19,19,21,24,21,25,22,19,22,21,20,23,19,20,19,17,20,22,18,17,FBgn0031450
CG30476,,1,5,20,20,21,23,19,21,20,19,21,23,19,20,22,21,20,19,21,19,22,20,FBgn0050476
CG3096,,1,5,22,21,23,21,22,20,22,23,21,23,20,21,19,19,20,19,22,20,20,24,FBgn0000216
CG31003,,1,5,20,21,21,20,20,21,19,18,19,19,21,20,22,20,21,21,20,19,20,21,FBgn0046332
CG31317,,1,5,21,21,20,23,23,18,20,21,18,19,25,19,22,19,20,21,22,19,21,20,FBgn0020299
CG31431,,1,5,22,24,22,24,20,21,20,19,24,20,21,22,24,24,18,20,24,22,24,24,FBgn0051431
CG32134,BL# 40871,1,5,17,17,17,18,23,25,22,22,22,24,21,18,21,19,19,20,22,20,19,19,FBgn0285896
CG32717,BL# 35291,1,5,18,20,19,22,20,18,19,18,21,21,18,16,22,20,18,19,19,17,16,21,FBgn0261873
CG32796,,1,5,21,21,16,17,16,16,21,18,16,20,19,16,22,17,11,17,20,19,21,18,FBgn0040388
CG33100,BL# 43990,1,5,18,19,19,19,18,20,17,18,18,19,18,20,18,19,20,19,18,18,19,18,FBgn0053100
CG34389,,1,5,20,21,20,19,22,22,23,18,22,24,23,23,23,20,20,20,20,18,19,20,FBgn0285955
CG3936,BL# 33616,1,5,0,3,4,4,7,6,5,4,6,7,6,5,4,5,7,5,5,6,4,7,FBgn0004647
CG3938,BL# 36092,1,5,21,21,20,22,20,21,18,21,20,21,23,20,22,21,18,23,20,18,19,21,FBgn0010382
CG42312,BL# 38194,1,5,19,19,22,18,22,19,20,20,22,18,21,20,22,20,22,19,20,21,19,22,FBgn0259212
CG42783,BL# 34332,1,5,18,24,21,17,22,27,21,23,24,25,24,20,23,20,20,21,23,21,20,26,FBgn0261854
CG43398,BL# 39073,1,5,19,18,19,18,15,18,17,19,18,19,17,17,19,17,19,18,18,20,16,16,FBgn0263289
CG4353,BL# 35210,1,5,25,26,25,26,24,23,20,23,22,20,26,21,24,26,24,22,20,23,23,25,FBgn0010303
CG44128,,1,5,18,18,19,19,18,20,21,22,19,13,21,20,21,20,20,22,18,21,23,21,FBgn0264959
CG4943,BL# 40905,1,5,18,22,19,22,20,17,22,19,22,17,21,21,22,19,20,21,17,20,22,19,FBgn0029006
CG5185,,1,5,19,23,22,21,22,20,20,19,21,22,22,21,21,23,20,19,20,23,9,20,FBgn0026320
CG5605,,1,5,0,0,23,13,12,10,0,0,0,0,0,0,19,16,0,0,0,0,20,14,FBgn0036974
CG5671,BL# 33643,1,5,29,29,30,24,28,23,24,23,24,28,27,23,29,24,28,23,27,24,26,24,FBgn0026379
CG5814,BL# 41979,1,5,19,21,20,24,22,26,23,27,19,19,21,18,24,20,22,21,18,20,23,24,FBgn0015625
CG5912,BL# 53342,1,5,17,21,17,19,22,18,21,21,19,20,22,17,17,17,22,19,19,20,20,20,FBgn0000119
CG6104,,1,5,1,1,20,20,19,9,18,19,18,19,20,18,17,17,19,20,19,20,17,18,FBgn0002592
CG6205,,1,5,23,22,22,20,22,22,23,20,21,24,22,21,21,22,22,22,21,22,23,22,FBgn0004957
CG6383,BL# 38373,1,5,18,15,20,21,20,19,20,20,19,18,20,20,19,19,19,18,20,18,18,20,FBgn0259685
CG6551,BL# 41588,1,5,21,19,20,18,19,19,19,21,22,21,20,24,19,21,19,19,21,20,22,20,FBgn0001079
CG6843,,1,5,20,22,21,21,19,19,19,19,18,18,19,18,17,21,18,18,18,19,20,22,FBgn0036827
CG7037,BL# 27500,1,5,19,22,22,20,23,23,23,20,24,24,24,22,18,24,24,21,19,24,26,27,FBgn0020224
CG7225,,1,5,19,20,21,19,19,19,17,18,16,18,20,18,17,22,20,18,22,19,22,19,FBgn0004003
CG7467,BL# 35447,1,5,16,18,19,19,13,14,14,15,14,15,16,15,15,15,14,15,15,16,13,14,FBgn0261885
CG7850,BL# 34392,1,5,22,23,21,22,19,24,25,19,24,19,17,17,18,24,22,24,21,23,19,23,FBgn0243512
CG8146,,1,5,17,18,22,20,19,15,22,22,19,17,20,22,21,23,21,18,20,23,21,22,FBgn0030869
CG8285,,1,5,21,17,19,19,20,21,18,17,19,17,21,18,21,19,17,19,16,19,18,24,FBgn0000206
CG8337,,1,5,21,20,17,23,21,22,18,20,19,21,20,22,19,20,20,21,21,23,19,21,FBgn0002732
CG8354,,1,5,21,21,20,21,22,23,22,21,21,19,22,22,22,21,20,18,21,19,20,23,FBgn0002632
CG8624,,1,5,21,19,19,19,21,19,18,20,19,19,21,20,21,20,20,19,21,20,20,21,FBgn0023001
CG9096,BL# 33653,1,5,19,19,21,19,22,17,18,18,18,19,18,19,22,20,17,18,19,18,18,18,FBgn0010315
CG9224,,2,5,17,17,20,20,21,21,17,19,17,17,18,17,19,18,21,19,20,20,17,19,FBgn0003463
CG9314,,1,5,18,16,17,13,19,15,20,22,16,19,16,18,19,17,19,17,16,19,15,17,FBgn0032061
CG9949,BL# 40842,1,5,20,18,18,20,19,22,20,19,19,20,20,21,21,22,21,19,18,18,21,20,FBgn0003410
OR,,1,5,18,18,20,18,18,16,20,19,18,20,19,18,18,19,19,20,17,19,20,20,Control
Tj>HpoRNAi,,1,5,21,22,20,22,18,18,19,21,26,21,21,23,20,21,23,21,18,20,24,19,Control
Tj>HpoRNAi,,2,5,19,19,17,20,18,17,19,21,22,21,19,20,22,22,21,22,22,23,20,20,Control
"Tj>HpoRNAi,Bab1RNAi",v50826,1,5,17,20,19,20,21,21,20,21,24,20,18,23,21,23,20,22,20,19,19,20,Control
"Tj>HpoRNAi,Bab2RNAi",BL# 35720,1,5,29,22,21,24,24,22,24,22,24,22,24,22,24,21,22,24,23,21,27,24,Control
"Tj>HpoRNAi,Hpo",,1,5,15,14,20,20,20,19,19,21,17,17,19,20,17,19,21,20,15,16,21,20,Control
"Tj>HpoRNAi,HpoRNAi",BL# 33614,1,5,24,22,21,22,25,21,20,23,21,23,21,21,24,22,21,22,22,22,23,21,Control
"Tj>HpoRNAi,Yki",,1,5,19,17,2,12,18,21,19,23,19,19,18,21,21,23,21,18,15,20,15,15,Control
"Tj>HpoRNAi,YkiRNAi",,1,5,20,18,21,21,17,20,21,17,17,19,17,19,20,18,19,17,15,18,19,20,Control
CG12676,BL# 38209,1,6,21,17,20,22,19,22,23,22,21,18,17,20,21,20,19,20,21,22,20,21,FBgn0000547
CG14173,BL# 32861,1,6,25,24,21,23,20,24,18,22,23,19,19,23,23,20,22,21,20,21,20,20,FBgn0044051
CG14228,BL# 34958,1,6,23,21,23,23,22,22,26,25,18,24,18,22,20,18,20,24,24,15,21,21,FBgn0086384
CG15110,,1,6,21,22,21,22,17,18,19,21,20,20,18,18,20,21,20,18,21,21,19,20,FBgn0027535
CG1768,,1,6,17,17,19,18,17,19,16,20,17,20,20,20,22,19,21,20,19,18,20,17,FBgn0011202
CG31695,,1,6,16,20,20,23,21,18,21,22,22,20,20,21,22,20,22,23,16,17,23,19,FBgn0005590
CG42840,BL# 33754,1,6,20,23,22,25,21,26,24,20,21,20,22,21,17,19,22,21,20,21,22,21,FBgn0262029
CG4451,,1,6,20,18,21,22,22,20,19,18,22,21,21,19,20,21,19,18,22,19,21,19,FBgn0038755
CG5178,,1,6,17,12,16,19,15,17,19,20,19,21,21,20,26,28,19,20,21,20,22,19,FBgn0000047
CG5993,BL# 33680,1,6,23,25,19,19,21,18,21,22,22,23,22,24,23,20,20,19,24,22,22,24,FBgn0004956
CG6705,,1,6,23,25,24,25,22,25,21,20,21,21,25,26,23,24,24,25,20,22,23,24,FBgn0003867
CG7392,BL# 34522,1,6,16,12,8,14,15,13,15,16,14,11,17,14,13,15,7,13,12,11,15,12,FBgn0044323
CG8053,,1,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,FBgn0026250
CG8556,,1,6,14,11,12,16,12,11,16,11,13,12,12,11,14,12,11,12,16,12,14,12,FBgn0014011
CG8914,,1,6,18,21,19,20,21,21,21,19,21,22,22,19,22,21,22,26,20,20,20,21,FBgn0026136
CG9774,,1,6,20,21,23,27,23,22,24,22,25,25,25,30,25,22,25,25,22,25,23,26,FBgn0026181
OR,,1,6,19,18,21,19,20,19,17,20,18,21,20,19,19,21,20,20,19,18,18,19,Control
Tj>HpoRNAi,,1,6,19,21,22,18,20,20,15,18,22,18,20,22,18,18,22,22,17,16,18,19,Control
Tj>HpoRNAi,,2,6,20,20,19,18,21,20,21,18,20,21,18,18,19,19,20,20,19,18,19,19,Control
"Tj>HpoRNAi,Bab1RNAi",v50826,1,6,21,22,20,19,21,20,18,19,21,20,21,21,21,20,22,20,20,19,19,22,Control
"Tj>HpoRNAi,Bab2RNAi",BL# 35720,1,6,25,27,24,21,25,27,23,25,26,23,21,23,24,25,24,26,24,21,23,21,Control
"Tj>HpoRNAi,Hpo",,1,6,19,19,18,15,16,15,15,17,16,15,18,19,19,18,19,19,15,17,14,16,Control
"Tj>HpoRNAi,HpoRNAi",BL# 33614,1,6,24,22,21,23,20,22,21,20,23,20,19,22,24,22,23,21,23,21,24,20,Control
"Tj>HpoRNAi,Yki",,1,6,20,20,11,17,19,17,16,19,15,22,21,20,11,16,14,18,19,17,16,15,Control
"Tj>HpoRNAi,YkiRNAi",,1,6,13,12,13,17,18,14,14,15,17,16,15,16,17,13,14,15,17,15,18,14,Control
